data%,buying,maint,doors,persons,lug_boots,safety,class
data,vhigh,vhigh,2,2,small,low,unacc
data,vhigh,vhigh,2,2,small,med,unacc
data,vhigh,vhigh,2,2,small,high,unacc
data,vhigh,vhigh,2,2,med,low,unacc
data,vhigh,vhigh,2,2,med,med,unacc
data,vhigh,vhigh,2,2,med,high,unacc
data,vhigh,vhigh,2,2,big,low,unacc
data,vhigh,vhigh,2,2,big,med,unacc
data,vhigh,vhigh,2,2,big,high,unacc
data,vhigh,vhigh,2,4,small,low,unacc
data,vhigh,vhigh,2,4,small,med,unacc
data,vhigh,vhigh,2,4,small,high,unacc
data,vhigh,vhigh,2,4,med,low,unacc
data,vhigh,vhigh,2,4,med,med,unacc
data,vhigh,vhigh,2,4,med,high,unacc
data,vhigh,vhigh,2,4,big,low,unacc
data,vhigh,vhigh,2,4,big,med,unacc
data,vhigh,vhigh,2,4,big,high,unacc
data,vhigh,vhigh,2,more,small,low,unacc
data,vhigh,vhigh,2,more,small,med,unacc
data,vhigh,vhigh,2,more,small,high,unacc
data,vhigh,vhigh,2,more,med,low,unacc
data,vhigh,vhigh,2,more,med,med,unacc
data,vhigh,vhigh,2,more,med,high,unacc
data,vhigh,vhigh,2,more,big,low,unacc
data,vhigh,vhigh,2,more,big,med,unacc
data,vhigh,vhigh,2,more,big,high,unacc
data,vhigh,vhigh,3,2,small,low,unacc
data,vhigh,vhigh,3,2,small,med,unacc
data,vhigh,vhigh,3,2,small,high,unacc
data,vhigh,vhigh,3,2,med,low,unacc
data,vhigh,vhigh,3,2,med,med,unacc
data,vhigh,vhigh,3,2,med,high,unacc
data,vhigh,vhigh,3,2,big,low,unacc
data,vhigh,vhigh,3,2,big,med,unacc
data,vhigh,vhigh,3,2,big,high,unacc
data,vhigh,vhigh,3,4,small,low,unacc
data,vhigh,vhigh,3,4,small,med,unacc
data,vhigh,vhigh,3,4,small,high,unacc
data,vhigh,vhigh,3,4,med,low,unacc
data,vhigh,vhigh,3,4,med,med,unacc
data,vhigh,vhigh,3,4,med,high,unacc
data,vhigh,vhigh,3,4,big,low,unacc
data,vhigh,vhigh,3,4,big,med,unacc
data,vhigh,vhigh,3,4,big,high,unacc
data,vhigh,vhigh,3,more,small,low,unacc
data,vhigh,vhigh,3,more,small,med,unacc
data,vhigh,vhigh,3,more,small,high,unacc
data,vhigh,vhigh,3,more,med,low,unacc
data,vhigh,vhigh,3,more,med,med,unacc
data,vhigh,vhigh,3,more,med,high,unacc
data,vhigh,vhigh,3,more,big,low,unacc
data,vhigh,vhigh,3,more,big,med,unacc
data,vhigh,vhigh,3,more,big,high,unacc
data,vhigh,vhigh,4,2,small,low,unacc
data,vhigh,vhigh,4,2,small,med,unacc
data,vhigh,vhigh,4,2,small,high,unacc
data,vhigh,vhigh,4,2,med,low,unacc
data,vhigh,vhigh,4,2,med,med,unacc
data,vhigh,vhigh,4,2,med,high,unacc
data,vhigh,vhigh,4,2,big,low,unacc
data,vhigh,vhigh,4,2,big,med,unacc
data,vhigh,vhigh,4,2,big,high,unacc
data,vhigh,vhigh,4,4,small,low,unacc
data,vhigh,vhigh,4,4,small,med,unacc
data,vhigh,vhigh,4,4,small,high,unacc
data,vhigh,vhigh,4,4,med,low,unacc
data,vhigh,vhigh,4,4,med,med,unacc
data,vhigh,vhigh,4,4,med,high,unacc
data,vhigh,vhigh,4,4,big,low,unacc
data,vhigh,vhigh,4,4,big,med,unacc
data,vhigh,vhigh,4,4,big,high,unacc
data,vhigh,vhigh,4,more,small,low,unacc
data,vhigh,vhigh,4,more,small,med,unacc
data,vhigh,vhigh,4,more,small,high,unacc
data,vhigh,vhigh,4,more,med,low,unacc
data,vhigh,vhigh,4,more,med,med,unacc
data,vhigh,vhigh,4,more,med,high,unacc
data,vhigh,vhigh,4,more,big,low,unacc
data,vhigh,vhigh,4,more,big,med,unacc
data,vhigh,vhigh,4,more,big,high,unacc
data,vhigh,vhigh,5more,2,small,low,unacc
data,vhigh,vhigh,5more,2,small,med,unacc
data,vhigh,vhigh,5more,2,small,high,unacc
data,vhigh,vhigh,5more,2,med,low,unacc
data,vhigh,vhigh,5more,2,med,med,unacc
data,vhigh,vhigh,5more,2,med,high,unacc
data,vhigh,vhigh,5more,2,big,low,unacc
data,vhigh,vhigh,5more,2,big,med,unacc
data,vhigh,vhigh,5more,2,big,high,unacc
data,vhigh,vhigh,5more,4,small,low,unacc
data,vhigh,vhigh,5more,4,small,med,unacc
data,vhigh,vhigh,5more,4,small,high,unacc
data,vhigh,vhigh,5more,4,med,low,unacc
data,vhigh,vhigh,5more,4,med,med,unacc
data,vhigh,vhigh,5more,4,med,high,unacc
data,vhigh,vhigh,5more,4,big,low,unacc
data,vhigh,vhigh,5more,4,big,med,unacc
data,vhigh,vhigh,5more,4,big,high,unacc
data,vhigh,vhigh,5more,more,small,low,unacc
data,vhigh,vhigh,5more,more,small,med,unacc
data,vhigh,vhigh,5more,more,small,high,unacc
data,vhigh,vhigh,5more,more,med,low,unacc
data,vhigh,vhigh,5more,more,med,med,unacc
data,vhigh,vhigh,5more,more,med,high,unacc
data,vhigh,vhigh,5more,more,big,low,unacc
data,vhigh,vhigh,5more,more,big,med,unacc
data,vhigh,vhigh,5more,more,big,high,unacc
data,vhigh,high,2,2,small,low,unacc
data,vhigh,high,2,2,small,med,unacc
data,vhigh,high,2,2,small,high,unacc
data,vhigh,high,2,2,med,low,unacc
data,vhigh,high,2,2,med,med,unacc
data,vhigh,high,2,2,med,high,unacc
data,vhigh,high,2,2,big,low,unacc
data,vhigh,high,2,2,big,med,unacc
data,vhigh,high,2,2,big,high,unacc
data,vhigh,high,2,4,small,low,unacc
data,vhigh,high,2,4,small,med,unacc
data,vhigh,high,2,4,small,high,unacc
data,vhigh,high,2,4,med,low,unacc
data,vhigh,high,2,4,med,med,unacc
data,vhigh,high,2,4,med,high,unacc
data,vhigh,high,2,4,big,low,unacc
data,vhigh,high,2,4,big,med,unacc
data,vhigh,high,2,4,big,high,unacc
data,vhigh,high,2,more,small,low,unacc
data,vhigh,high,2,more,small,med,unacc
data,vhigh,high,2,more,small,high,unacc
data,vhigh,high,2,more,med,low,unacc
data,vhigh,high,2,more,med,med,unacc
data,vhigh,high,2,more,med,high,unacc
data,vhigh,high,2,more,big,low,unacc
data,vhigh,high,2,more,big,med,unacc
data,vhigh,high,2,more,big,high,unacc
data,vhigh,high,3,2,small,low,unacc
data,vhigh,high,3,2,small,med,unacc
data,vhigh,high,3,2,small,high,unacc
data,vhigh,high,3,2,med,low,unacc
data,vhigh,high,3,2,med,med,unacc
data,vhigh,high,3,2,med,high,unacc
data,vhigh,high,3,2,big,low,unacc
data,vhigh,high,3,2,big,med,unacc
data,vhigh,high,3,2,big,high,unacc
data,vhigh,high,3,4,small,low,unacc
data,vhigh,high,3,4,small,med,unacc
data,vhigh,high,3,4,small,high,unacc
data,vhigh,high,3,4,med,low,unacc
data,vhigh,high,3,4,med,med,unacc
data,vhigh,high,3,4,med,high,unacc
data,vhigh,high,3,4,big,low,unacc
data,vhigh,high,3,4,big,med,unacc
data,vhigh,high,3,4,big,high,unacc
data,vhigh,high,3,more,small,low,unacc
data,vhigh,high,3,more,small,med,unacc
data,vhigh,high,3,more,small,high,unacc
data,vhigh,high,3,more,med,low,unacc
data,vhigh,high,3,more,med,med,unacc
data,vhigh,high,3,more,med,high,unacc
data,vhigh,high,3,more,big,low,unacc
data,vhigh,high,3,more,big,med,unacc
data,vhigh,high,3,more,big,high,unacc
data,vhigh,high,4,2,small,low,unacc
data,vhigh,high,4,2,small,med,unacc
data,vhigh,high,4,2,small,high,unacc
data,vhigh,high,4,2,med,low,unacc
data,vhigh,high,4,2,med,med,unacc
data,vhigh,high,4,2,med,high,unacc
data,vhigh,high,4,2,big,low,unacc
data,vhigh,high,4,2,big,med,unacc
data,vhigh,high,4,2,big,high,unacc
data,vhigh,high,4,4,small,low,unacc
data,vhigh,high,4,4,small,med,unacc
data,vhigh,high,4,4,small,high,unacc
data,vhigh,high,4,4,med,low,unacc
data,vhigh,high,4,4,med,med,unacc
data,vhigh,high,4,4,med,high,unacc
data,vhigh,high,4,4,big,low,unacc
data,vhigh,high,4,4,big,med,unacc
data,vhigh,high,4,4,big,high,unacc
data,vhigh,high,4,more,small,low,unacc
data,vhigh,high,4,more,small,med,unacc
data,vhigh,high,4,more,small,high,unacc
data,vhigh,high,4,more,med,low,unacc
data,vhigh,high,4,more,med,med,unacc
data,vhigh,high,4,more,med,high,unacc
data,vhigh,high,4,more,big,low,unacc
data,vhigh,high,4,more,big,med,unacc
data,vhigh,high,4,more,big,high,unacc
data,vhigh,high,5more,2,small,low,unacc
data,vhigh,high,5more,2,small,med,unacc
data,vhigh,high,5more,2,small,high,unacc
data,vhigh,high,5more,2,med,low,unacc
data,vhigh,high,5more,2,med,med,unacc
data,vhigh,high,5more,2,med,high,unacc
data,vhigh,high,5more,2,big,low,unacc
data,vhigh,high,5more,2,big,med,unacc
data,vhigh,high,5more,2,big,high,unacc
data,vhigh,high,5more,4,small,low,unacc
data,vhigh,high,5more,4,small,med,unacc
data,vhigh,high,5more,4,small,high,unacc
data,vhigh,high,5more,4,med,low,unacc
data,vhigh,high,5more,4,med,med,unacc
data,vhigh,high,5more,4,med,high,unacc
data,vhigh,high,5more,4,big,low,unacc
data,vhigh,high,5more,4,big,med,unacc
data,vhigh,high,5more,4,big,high,unacc
data,vhigh,high,5more,more,small,low,unacc
data,vhigh,high,5more,more,small,med,unacc
data,vhigh,high,5more,more,small,high,unacc
data,vhigh,high,5more,more,med,low,unacc
data,vhigh,high,5more,more,med,med,unacc
data,vhigh,high,5more,more,med,high,unacc
data,vhigh,high,5more,more,big,low,unacc
data,vhigh,high,5more,more,big,med,unacc
data,vhigh,high,5more,more,big,high,unacc
data,vhigh,med,2,2,small,low,unacc
data,vhigh,med,2,2,small,med,unacc
data,vhigh,med,2,2,small,high,unacc
data,vhigh,med,2,2,med,low,unacc
data,vhigh,med,2,2,med,med,unacc
data,vhigh,med,2,2,med,high,unacc
data,vhigh,med,2,2,big,low,unacc
data,vhigh,med,2,2,big,med,unacc
data,vhigh,med,2,2,big,high,unacc
data,vhigh,med,2,4,small,low,unacc
data,vhigh,med,2,4,small,med,unacc
data,vhigh,med,2,4,small,high,acc
data,vhigh,med,2,4,med,low,unacc
data,vhigh,med,2,4,med,med,unacc
data,vhigh,med,2,4,med,high,acc
data,vhigh,med,2,4,big,low,unacc
data,vhigh,med,2,4,big,med,acc
data,vhigh,med,2,4,big,high,acc
data,vhigh,med,2,more,small,low,unacc
data,vhigh,med,2,more,small,med,unacc
data,vhigh,med,2,more,small,high,unacc
data,vhigh,med,2,more,med,low,unacc
data,vhigh,med,2,more,med,med,unacc
data,vhigh,med,2,more,med,high,acc
data,vhigh,med,2,more,big,low,unacc
data,vhigh,med,2,more,big,med,acc
data,vhigh,med,2,more,big,high,acc
data,vhigh,med,3,2,small,low,unacc
data,vhigh,med,3,2,small,med,unacc
data,vhigh,med,3,2,small,high,unacc
data,vhigh,med,3,2,med,low,unacc
data,vhigh,med,3,2,med,med,unacc
data,vhigh,med,3,2,med,high,unacc
data,vhigh,med,3,2,big,low,unacc
data,vhigh,med,3,2,big,med,unacc
data,vhigh,med,3,2,big,high,unacc
data,vhigh,med,3,4,small,low,unacc
data,vhigh,med,3,4,small,med,unacc
data,vhigh,med,3,4,small,high,acc
data,vhigh,med,3,4,med,low,unacc
data,vhigh,med,3,4,med,med,unacc
data,vhigh,med,3,4,med,high,acc
data,vhigh,med,3,4,big,low,unacc
data,vhigh,med,3,4,big,med,acc
data,vhigh,med,3,4,big,high,acc
data,vhigh,med,3,more,small,low,unacc
data,vhigh,med,3,more,small,med,unacc
data,vhigh,med,3,more,small,high,acc
data,vhigh,med,3,more,med,low,unacc
data,vhigh,med,3,more,med,med,acc
data,vhigh,med,3,more,med,high,acc
data,vhigh,med,3,more,big,low,unacc
data,vhigh,med,3,more,big,med,acc
data,vhigh,med,3,more,big,high,acc
data,vhigh,med,4,2,small,low,unacc
data,vhigh,med,4,2,small,med,unacc
data,vhigh,med,4,2,small,high,unacc
data,vhigh,med,4,2,med,low,unacc
data,vhigh,med,4,2,med,med,unacc
data,vhigh,med,4,2,med,high,unacc
data,vhigh,med,4,2,big,low,unacc
data,vhigh,med,4,2,big,med,unacc
data,vhigh,med,4,2,big,high,unacc
data,vhigh,med,4,4,small,low,unacc
data,vhigh,med,4,4,small,med,unacc
data,vhigh,med,4,4,small,high,acc
data,vhigh,med,4,4,med,low,unacc
data,vhigh,med,4,4,med,med,acc
data,vhigh,med,4,4,med,high,acc
data,vhigh,med,4,4,big,low,unacc
data,vhigh,med,4,4,big,med,acc
data,vhigh,med,4,4,big,high,acc
data,vhigh,med,4,more,small,low,unacc
data,vhigh,med,4,more,small,med,unacc
data,vhigh,med,4,more,small,high,acc
data,vhigh,med,4,more,med,low,unacc
data,vhigh,med,4,more,med,med,acc
data,vhigh,med,4,more,med,high,acc
data,vhigh,med,4,more,big,low,unacc
data,vhigh,med,4,more,big,med,acc
data,vhigh,med,4,more,big,high,acc
data,vhigh,med,5more,2,small,low,unacc
data,vhigh,med,5more,2,small,med,unacc
data,vhigh,med,5more,2,small,high,unacc
data,vhigh,med,5more,2,med,low,unacc
data,vhigh,med,5more,2,med,med,unacc
data,vhigh,med,5more,2,med,high,unacc
data,vhigh,med,5more,2,big,low,unacc
data,vhigh,med,5more,2,big,med,unacc
data,vhigh,med,5more,2,big,high,unacc
data,vhigh,med,5more,4,small,low,unacc
data,vhigh,med,5more,4,small,med,unacc
data,vhigh,med,5more,4,small,high,acc
data,vhigh,med,5more,4,med,low,unacc
data,vhigh,med,5more,4,med,med,acc
data,vhigh,med,5more,4,med,high,acc
data,vhigh,med,5more,4,big,low,unacc
data,vhigh,med,5more,4,big,med,acc
data,vhigh,med,5more,4,big,high,acc
data,vhigh,med,5more,more,small,low,unacc
data,vhigh,med,5more,more,small,med,unacc
data,vhigh,med,5more,more,small,high,acc
data,vhigh,med,5more,more,med,low,unacc
data,vhigh,med,5more,more,med,med,acc
data,vhigh,med,5more,more,med,high,acc
data,vhigh,med,5more,more,big,low,unacc
data,vhigh,med,5more,more,big,med,acc
data,vhigh,med,5more,more,big,high,acc
data,vhigh,low,2,2,small,low,unacc
data,vhigh,low,2,2,small,med,unacc
data,vhigh,low,2,2,small,high,unacc
data,vhigh,low,2,2,med,low,unacc
data,vhigh,low,2,2,med,med,unacc
data,vhigh,low,2,2,med,high,unacc
data,vhigh,low,2,2,big,low,unacc
data,vhigh,low,2,2,big,med,unacc
data,vhigh,low,2,2,big,high,unacc
data,vhigh,low,2,4,small,low,unacc
data,vhigh,low,2,4,small,med,unacc
data,vhigh,low,2,4,small,high,acc
data,vhigh,low,2,4,med,low,unacc
data,vhigh,low,2,4,med,med,unacc
data,vhigh,low,2,4,med,high,acc
data,vhigh,low,2,4,big,low,unacc
data,vhigh,low,2,4,big,med,acc
data,vhigh,low,2,4,big,high,acc
data,vhigh,low,2,more,small,low,unacc
data,vhigh,low,2,more,small,med,unacc
data,vhigh,low,2,more,small,high,unacc
data,vhigh,low,2,more,med,low,unacc
data,vhigh,low,2,more,med,med,unacc
data,vhigh,low,2,more,med,high,acc
data,vhigh,low,2,more,big,low,unacc
data,vhigh,low,2,more,big,med,acc
data,vhigh,low,2,more,big,high,acc
data,vhigh,low,3,2,small,low,unacc
data,vhigh,low,3,2,small,med,unacc
data,vhigh,low,3,2,small,high,unacc
data,vhigh,low,3,2,med,low,unacc
data,vhigh,low,3,2,med,med,unacc
data,vhigh,low,3,2,med,high,unacc
data,vhigh,low,3,2,big,low,unacc
data,vhigh,low,3,2,big,med,unacc
data,vhigh,low,3,2,big,high,unacc
data,vhigh,low,3,4,small,low,unacc
data,vhigh,low,3,4,small,med,unacc
data,vhigh,low,3,4,small,high,acc
data,vhigh,low,3,4,med,low,unacc
data,vhigh,low,3,4,med,med,unacc
data,vhigh,low,3,4,med,high,acc
data,vhigh,low,3,4,big,low,unacc
data,vhigh,low,3,4,big,med,acc
data,vhigh,low,3,4,big,high,acc
data,vhigh,low,3,more,small,low,unacc
data,vhigh,low,3,more,small,med,unacc
data,vhigh,low,3,more,small,high,acc
data,vhigh,low,3,more,med,low,unacc
data,vhigh,low,3,more,med,med,acc
data,vhigh,low,3,more,med,high,acc
data,vhigh,low,3,more,big,low,unacc
data,vhigh,low,3,more,big,med,acc
data,vhigh,low,3,more,big,high,acc
data,vhigh,low,4,2,small,low,unacc
data,vhigh,low,4,2,small,med,unacc
data,vhigh,low,4,2,small,high,unacc
data,vhigh,low,4,2,med,low,unacc
data,vhigh,low,4,2,med,med,unacc
data,vhigh,low,4,2,med,high,unacc
data,vhigh,low,4,2,big,low,unacc
data,vhigh,low,4,2,big,med,unacc
data,vhigh,low,4,2,big,high,unacc
data,vhigh,low,4,4,small,low,unacc
data,vhigh,low,4,4,small,med,unacc
data,vhigh,low,4,4,small,high,acc
data,vhigh,low,4,4,med,low,unacc
data,vhigh,low,4,4,med,med,acc
data,vhigh,low,4,4,med,high,acc
data,vhigh,low,4,4,big,low,unacc
data,vhigh,low,4,4,big,med,acc
data,vhigh,low,4,4,big,high,acc
data,vhigh,low,4,more,small,low,unacc
data,vhigh,low,4,more,small,med,unacc
data,vhigh,low,4,more,small,high,acc
data,vhigh,low,4,more,med,low,unacc
data,vhigh,low,4,more,med,med,acc
data,vhigh,low,4,more,med,high,acc
data,vhigh,low,4,more,big,low,unacc
data,vhigh,low,4,more,big,med,acc
data,vhigh,low,4,more,big,high,acc
data,vhigh,low,5more,2,small,low,unacc
data,vhigh,low,5more,2,small,med,unacc
data,vhigh,low,5more,2,small,high,unacc
data,vhigh,low,5more,2,med,low,unacc
data,vhigh,low,5more,2,med,med,unacc
data,vhigh,low,5more,2,med,high,unacc
data,vhigh,low,5more,2,big,low,unacc
data,vhigh,low,5more,2,big,med,unacc
data,vhigh,low,5more,2,big,high,unacc
data,vhigh,low,5more,4,small,low,unacc
data,vhigh,low,5more,4,small,med,unacc
data,vhigh,low,5more,4,small,high,acc
data,vhigh,low,5more,4,med,low,unacc
data,vhigh,low,5more,4,med,med,acc
data,vhigh,low,5more,4,med,high,acc
data,vhigh,low,5more,4,big,low,unacc
data,vhigh,low,5more,4,big,med,acc
data,vhigh,low,5more,4,big,high,acc
data,vhigh,low,5more,more,small,low,unacc
data,vhigh,low,5more,more,small,med,unacc
data,vhigh,low,5more,more,small,high,acc
data,vhigh,low,5more,more,med,low,unacc
data,vhigh,low,5more,more,med,med,acc
data,vhigh,low,5more,more,med,high,acc
data,vhigh,low,5more,more,big,low,unacc
data,vhigh,low,5more,more,big,med,acc
data,vhigh,low,5more,more,big,high,acc
data,high,vhigh,2,2,small,low,unacc
data,high,vhigh,2,2,small,med,unacc
data,high,vhigh,2,2,small,high,unacc
data,high,vhigh,2,2,med,low,unacc
data,high,vhigh,2,2,med,med,unacc
data,high,vhigh,2,2,med,high,unacc
data,high,vhigh,2,2,big,low,unacc
data,high,vhigh,2,2,big,med,unacc
data,high,vhigh,2,2,big,high,unacc
data,high,vhigh,2,4,small,low,unacc
data,high,vhigh,2,4,small,med,unacc
data,high,vhigh,2,4,small,high,unacc
data,high,vhigh,2,4,med,low,unacc
data,high,vhigh,2,4,med,med,unacc
data,high,vhigh,2,4,med,high,unacc
data,high,vhigh,2,4,big,low,unacc
data,high,vhigh,2,4,big,med,unacc
data,high,vhigh,2,4,big,high,unacc
data,high,vhigh,2,more,small,low,unacc
data,high,vhigh,2,more,small,med,unacc
data,high,vhigh,2,more,small,high,unacc
data,high,vhigh,2,more,med,low,unacc
data,high,vhigh,2,more,med,med,unacc
data,high,vhigh,2,more,med,high,unacc
data,high,vhigh,2,more,big,low,unacc
data,high,vhigh,2,more,big,med,unacc
data,high,vhigh,2,more,big,high,unacc
data,high,vhigh,3,2,small,low,unacc
data,high,vhigh,3,2,small,med,unacc
data,high,vhigh,3,2,small,high,unacc
data,high,vhigh,3,2,med,low,unacc
data,high,vhigh,3,2,med,med,unacc
data,high,vhigh,3,2,med,high,unacc
data,high,vhigh,3,2,big,low,unacc
data,high,vhigh,3,2,big,med,unacc
data,high,vhigh,3,2,big,high,unacc
data,high,vhigh,3,4,small,low,unacc
data,high,vhigh,3,4,small,med,unacc
data,high,vhigh,3,4,small,high,unacc
data,high,vhigh,3,4,med,low,unacc
data,high,vhigh,3,4,med,med,unacc
data,high,vhigh,3,4,med,high,unacc
data,high,vhigh,3,4,big,low,unacc
data,high,vhigh,3,4,big,med,unacc
data,high,vhigh,3,4,big,high,unacc
data,high,vhigh,3,more,small,low,unacc
data,high,vhigh,3,more,small,med,unacc
data,high,vhigh,3,more,small,high,unacc
data,high,vhigh,3,more,med,low,unacc
data,high,vhigh,3,more,med,med,unacc
data,high,vhigh,3,more,med,high,unacc
data,high,vhigh,3,more,big,low,unacc
data,high,vhigh,3,more,big,med,unacc
data,high,vhigh,3,more,big,high,unacc
data,high,vhigh,4,2,small,low,unacc
data,high,vhigh,4,2,small,med,unacc
data,high,vhigh,4,2,small,high,unacc
data,high,vhigh,4,2,med,low,unacc
data,high,vhigh,4,2,med,med,unacc
data,high,vhigh,4,2,med,high,unacc
data,high,vhigh,4,2,big,low,unacc
data,high,vhigh,4,2,big,med,unacc
data,high,vhigh,4,2,big,high,unacc
data,high,vhigh,4,4,small,low,unacc
data,high,vhigh,4,4,small,med,unacc
data,high,vhigh,4,4,small,high,unacc
data,high,vhigh,4,4,med,low,unacc
data,high,vhigh,4,4,med,med,unacc
data,high,vhigh,4,4,med,high,unacc
data,high,vhigh,4,4,big,low,unacc
data,high,vhigh,4,4,big,med,unacc
data,high,vhigh,4,4,big,high,unacc
data,high,vhigh,4,more,small,low,unacc
data,high,vhigh,4,more,small,med,unacc
data,high,vhigh,4,more,small,high,unacc
data,high,vhigh,4,more,med,low,unacc
data,high,vhigh,4,more,med,med,unacc
data,high,vhigh,4,more,med,high,unacc
data,high,vhigh,4,more,big,low,unacc
data,high,vhigh,4,more,big,med,unacc
data,high,vhigh,4,more,big,high,unacc
data,high,vhigh,5more,2,small,low,unacc
data,high,vhigh,5more,2,small,med,unacc
data,high,vhigh,5more,2,small,high,unacc
data,high,vhigh,5more,2,med,low,unacc
data,high,vhigh,5more,2,med,med,unacc
data,high,vhigh,5more,2,med,high,unacc
data,high,vhigh,5more,2,big,low,unacc
data,high,vhigh,5more,2,big,med,unacc
data,high,vhigh,5more,2,big,high,unacc
data,high,vhigh,5more,4,small,low,unacc
data,high,vhigh,5more,4,small,med,unacc
data,high,vhigh,5more,4,small,high,unacc
data,high,vhigh,5more,4,med,low,unacc
data,high,vhigh,5more,4,med,med,unacc
data,high,vhigh,5more,4,med,high,unacc
data,high,vhigh,5more,4,big,low,unacc
data,high,vhigh,5more,4,big,med,unacc
data,high,vhigh,5more,4,big,high,unacc
data,high,vhigh,5more,more,small,low,unacc
data,high,vhigh,5more,more,small,med,unacc
data,high,vhigh,5more,more,small,high,unacc
data,high,vhigh,5more,more,med,low,unacc
data,high,vhigh,5more,more,med,med,unacc
data,high,vhigh,5more,more,med,high,unacc
data,high,vhigh,5more,more,big,low,unacc
data,high,vhigh,5more,more,big,med,unacc
data,high,vhigh,5more,more,big,high,unacc
data,high,high,2,2,small,low,unacc
data,high,high,2,2,small,med,unacc
data,high,high,2,2,small,high,unacc
data,high,high,2,2,med,low,unacc
data,high,high,2,2,med,med,unacc
data,high,high,2,2,med,high,unacc
data,high,high,2,2,big,low,unacc
data,high,high,2,2,big,med,unacc
data,high,high,2,2,big,high,unacc
data,high,high,2,4,small,low,unacc
data,high,high,2,4,small,med,unacc
